text_komentar,nama_akun
@sleepypirate:  kebanyakan olahraga muka ampe jadi logo arsenal,@sleepypirate
@wonkyzombie03:  eh ketemu lagi sama jok spedah,@wonkyzombie03
@sleepyworm:  Congore adalah masalahnya,@sleepyworm
@crazykitten:  makin hari makin menjadi jadi logo Arsenal yang satu ini,@crazykitten
"@ghostsundae404:  logo Arsenal, jok sepeda, ketelan risol.. semua udh di alami",@ghostsundae404
@wonkywormx:  komat kamit mulut mbah sopy,@wonkywormx
@wonkydonut40:  merinding liat mukanyaaaa,@wonkydonut40
@crazypopsiclex:  mangap mangap aja sop,@crazypopsiclex
@cloudynoodle99:  dasar gilaaa,@cloudynoodle99
@crt:  gimana mau generasi emas kalo kek gini,@crt
@wonkysundae:  bodoh BGT bg gemes liatnya sok ngarti,@wonkysundae
@grumpypeach_07:  muka lu kayak keset welcome bang,@grumpypeach_07
@mintykitten_07:  ga usah senyum bang jadi mules liatnya,@mintykitten_07
@ghostduck_07:  dia yang senyum gw yg takut,@ghostduck_07
@cloudynoodle_07:  merinding liat mukanya,@cloudynoodle_07
@mintybanana_xoxo:  perawatan kek geli liatnya,@mintybanana_xoxo
@lazypeach88:  Seperti tapir wkwkwkww,@lazypeach88
@boredbananax:  anjir geli banget liatnya,@boredbananax
@midnightworm:  mbak mbakkk dasar drama,@midnightworm
@sillynoodle420:  Bendera merah banget si tasii ih :(,@sillynoodle420
@crazypopsicle_z:  TASYI ANEHH??,@crazypopsicle_z
@crazyclown404:  bayu aneh bgt anjir,@crazyclown404
@fuzzysundae_07:  APASIH LO TASYIIII GAJELAS BGT HAHAHAHAHAH,@fuzzysundae_07
@weirdpirate_xoxo:  Hedonnya sangat oke,@weirdpirate_xoxo
@shadypeach404:  Manusia haus validasi wakakakkaa??,@shadypeach404
@toxicpopsicle_xoxo:  gimmick kocakkkk,@toxicpopsicle_xoxo
@shadyowl_tv:  Riya Bgt Dihh,@shadyowl_tv
@weirdpeach404:  Nungs Bacot Ready,@weirdpeach404
@bluntkitten_z:  Outfitnya mengapa ....... wkwwkwkwk,@bluntkitten_z
@crazypudding99:  Dihh Keren Lo ?? Jijay Banjay,@crazypudding99
@saltysundae404:  wkwkq riyaaaa ih si ibu????,@saltysundae404
@weirdpeach:  apasih gajeee jelek,@weirdpeach
@cloudycactus420:  Ngakakkk Bodoh Bat Behaviorny,@cloudycactus420
@wonkysundae_fm:  cinta gadis haha,@wonkysundae_fm
@shadycactus:  mbak mbak.. cantik sih tp bulunya lebat kek cowo??,@shadycactus
@shadysundae:  kok mukanya aneh?,@shadysundae
@shadypopsicle99:  biasa main dikali.. sekalinya main ke kota jadi norak dia,@shadypopsicle99
"@sleepyduckx:  bang gw saranin lu pindah mars aja, malu2 in negara",@sleepyduckx
@saltygoblin:  orang kayak gini cocoknya jadi umpan buaya,@saltygoblin
@pixelzombie:  Buset itu bibirnye jontor,@pixelzombie
@midnightduck:  orang modelan gini beban negara,@midnightduck
@fuzzybanana_07:  tolong kim jong un rekrut dia jadi warga negara lu.. beban hahaha,@fuzzybanana_07
@ghostcrab_tv:  emaknya malu punya anak kayak dia,@ghostcrab_tv
@sillygoblin88:  badan nya mirip sapi,@sillygoblin88
@mintycactus:  aduh ga bisa bgt liat gaya nya.. norak,@mintycactus
@lazyboba:  wkwkw idungnya ngeselin bgt ya,@lazyboba
@wonkyworm99:  dia pikir dia paling cantik padahal hanyalah ampas,@wonkyworm99
@toxicclown:  Ini adalah pemborosan masyarakat,@toxicclown
@ghostpirate88:  kelakuannya tolol bgt anj,@ghostpirate88
@midnightowl420:  minimal punya otak dek,@midnightowl420
@saltygoblin420:  si tolol bukannya mikir,@saltygoblin420
@weirdnoodle:  bang otak lu segede sendok nyam nyam ya?,@weirdnoodle
@sillypopsicle03:  tolong lah minimal mikir jadi orang,@sillypopsicle03
